Kode Cabang|No Anggota|No Pemesanan|No PO|Tgl Pemesanan|Kode Alamat|Kode PLU|Satuan|Harga (Rp)|Jml Pesanan|Bebas Biaya Pengiriman|Nama Penerima|Email|No Hp|Nama WP|NPWP|Alamat WP
17|19913/web/bln/tgl|001723/cor/07/2018|NO-PO-002451|12/07/2018|JL.PANGERAN AYIN NO.326,Sukamaju,Sako,Kota Palembang,Sumatera Selatan,30962|0014911|PCS|15400|3|Y|Indomaret Palembang||07118220006|||
17|19913/web/bln/tgl|001723/cor/07/2018|NO-PO-002451|12/07/2018|JL.PANGERAN AYIN NO.326,Sukamaju,Sako,Kota Palembang,Sumatera Selatan,30962|0048711|PCS|7500|2|Y|Indomaret Palembang||07118220006|||
17|19913/web/bln/tgl|001723/cor/07/2018|NO-PO-002451|12/07/2018|JL.PANGERAN AYIN NO.326,Sukamaju,Sako,Kota Palembang,Sumatera Selatan,30962|0452031|PCS|9800|50|Y|Indomaret Palembang||07118220006|||
17|19913/web/bln/tgl|001723/cor/07/2018|NO-PO-002451|12/07/2018|JL.PANGERAN AYIN NO.326,Sukamaju,Sako,Kota Palembang,Sumatera Selatan,30962|1189561|PCS|7650|1|Y|Indomaret Palembang||07118220006|||
17|19913/web/bln/tgl|001723/cor/07/2018|NO-PO-002451|12/07/2018|JL.PANGERAN AYIN NO.326,Sukamaju,Sako,Kota Palembang,Sumatera Selatan,30962|1264100|PCS|143500|1|Y|Indomaret Palembang||07118220006|||
17|19913/web/bln/tgl|001723/cor/07/2018|NO-PO-002451|12/07/2018|JL.PANGERAN AYIN NO.326,Sukamaju,Sako,Kota Palembang,Sumatera Selatan,30962|1278991|PCS|4500|4|Y|Indomaret Palembang||07118220006|||
17|19913/web/bln/tgl|001723/cor/07/2018|NO-PO-002451|12/07/2018|JL.PANGERAN AYIN NO.326,Sukamaju,Sako,Kota Palembang,Sumatera Selatan,30962|1327091|PCS|11900|3|Y|Indomaret Palembang||07118220006|||
17|19913/web/bln/tgl|001723/cor/07/2018|NO-PO-002451|12/07/2018|JL.PANGERAN AYIN NO.326,Sukamaju,Sako,Kota Palembang,Sumatera Selatan,30962|1349401|ROL|9800|8|Y|Indomaret Palembang||07118220006|||
17|19913/web/bln/tgl|001723/cor/07/2018|NO-PO-002451|12/07/2018|JL.PANGERAN AYIN NO.326,Sukamaju,Sako,Kota Palembang,Sumatera Selatan,30962|1405090|PCS|79850|7|Y|Indomaret Palembang||07118220006|||
17|19913/web/bln/tgl|001723/cor/07/2018|NO-PO-002451|12/07/2018|JL.PANGERAN AYIN NO.326,Sukamaju,Sako,Kota Palembang,Sumatera Selatan,30962|1519411|PCS|12950|30|Y|Indomaret Palembang||07118220006|||
17|19913/web/bln/tgl|001723/cor/07/2018|NO-PO-002451|12/07/2018|JL.PANGERAN AYIN NO.326,Sukamaju,Sako,Kota Palembang,Sumatera Selatan,30962|1550291|PCS|4450|4|Y|Indomaret Palembang||07118220006|||
